entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2021-01-01 07:00:00,28949.15,2021-01-01 09:45:00,29229.6,-280.45,99719.55,-280.45
2021-01-01 10:00:00,29306.43,2021-01-01 15:15:00,29318.62,12.19,99731.74,-268.26
2021-01-01 15:30:00,29149.98,2021-01-01 19:45:00,29048.47,101.51,99833.25,-166.75
2021-01-01 20:00:00,29183.83,2021-01-02 15:30:00,31635.92,2452.09,102285.34,2285.34
2021-01-02 20:30:00,32180.51,2021-01-02 22:00:00,31701.09,479.42,102764.76,2764.76
2021-01-02 22:15:00,32231.0,2021-01-03 14:45:00,33903.75,1672.75,104437.51,4437.51
2021-01-03 15:00:00,33450.17,2021-01-03 20:00:00,33361.96,88.21,104525.72,4525.72
2021-01-03 20:15:00,33742.0,2021-01-04 00:15:00,32850.51,-891.49,103634.23,3634.2300000000005
2021-01-04 00:30:00,32705.98,2021-01-04 02:30:00,33193.34,-487.36,103146.87,3146.8700000000003
2021-01-04 02:45:00,33502.99,2021-01-04 07:00:00,32905.4,-597.59,102549.28,2549.28
2021-01-04 07:15:00,32433.0,2021-01-04 10:30:00,29774.67,2658.33,105207.61,5207.610000000001
2021-01-04 10:45:00,30279.53,2021-01-04 21:15:00,31125.26,845.73,106053.34,6053.34
2021-01-04 21:30:00,30934.57,2021-01-04 23:30:00,31932.22,-1042.82,105010.52,5010.52
2021-01-04 23:45:00,32031.07,2021-01-05 03:15:00,31928.0,-103.07,104907.45,4907.450000000001
2021-01-05 03:30:00,31774.43,2021-01-05 07:45:00,30844.23,930.2,105837.65,5837.650000000001
2021-01-05 08:00:00,31398.04,2021-01-06 04:00:00,34531.52,3133.48,108971.13,8971.130000000001
2021-01-06 08:15:00,34240.88,2021-01-06 10:45:00,34462.55,-221.67,108749.46,8749.460000000001
2021-01-06 11:00:00,35041.67,2021-01-06 19:45:00,34861.7,-179.97,108569.49,8569.490000000002
2021-01-06 20:00:00,34365.96,2021-01-06 20:30:00,35420.8,-1054.84,107514.65,7514.6500000000015
2021-01-06 20:45:00,36131.01,2021-01-07 16:00:00,39598.42,3467.41,110982.06,10982.060000000001
2021-01-07 18:30:00,38032.38,2021-01-07 19:15:00,38799.9,-767.52,110214.54000000001,10214.54
2021-01-07 19:30:00,39233.42,2021-01-08 01:15:00,38578.62,-654.8,109559.74,9559.740000000002
2021-01-08 01:30:00,38275.3,2021-01-08 04:00:00,38593.87,-318.57,109241.17,9241.170000000002
2021-01-08 04:15:00,38736.06,2021-01-08 18:00:00,40763.21,2027.15,111268.32,11268.320000000002
2021-01-08 18:15:00,40301.92,2021-01-08 22:15:00,40150.12,151.8,111420.12,11420.12
2021-01-08 22:30:00,40628.82,2021-01-09 05:00:00,40006.51,-622.31,110797.81,10797.810000000001
2021-01-09 05:15:00,39763.67,2021-01-09 08:30:00,40076.07,-312.4,110485.41,10485.410000000002
2021-01-09 08:45:00,40210.89,2021-01-09 16:00:00,40471.01,260.12,110745.53,10745.530000000002
2021-01-09 16:15:00,40230.0,2021-01-09 18:45:00,40737.87,-507.87,110237.66,10237.660000000002
2021-01-09 19:00:00,40861.97,2021-01-09 23:00:00,40161.42,-926.27,109311.39,9311.390000000001
2021-01-10 03:45:00,40393.5,2021-01-10 06:15:00,40719.63,-326.13,108985.26000000001,8985.260000000002
2021-01-10 06:30:00,41011.01,2021-01-10 10:30:00,40491.0,-910.12,108075.14,8075.140000000002
2021-01-10 11:00:00,40202.13,2021-01-10 12:45:00,39562.7,639.43,108714.57,8714.570000000002
2021-01-10 13:00:00,39878.92,2021-01-10 17:00:00,39060.09,-818.83,107895.74,7895.740000000002
2021-01-10 17:15:00,38210.45,2021-01-10 20:30:00,37446.55,763.9,108659.64,8659.640000000001
2021-01-10 20:45:00,37782.81,2021-01-11 01:15:00,37756.14,-26.67,108632.97,8632.970000000001
2021-01-11 01:30:00,37219.22,2021-01-11 08:15:00,35300.71,1918.51,110551.48,10551.480000000001
2021-01-11 08:30:00,35805.39,2021-01-11 11:45:00,34218.66,-1586.73,108964.75,8964.750000000002
2021-01-11 12:00:00,33722.58,2021-01-11 20:30:00,32264.06,1458.52,110423.27,10423.270000000002
2021-01-11 20:45:00,33494.81,2021-01-12 10:00:00,35380.18,1885.37,112308.64,12308.640000000003
2021-01-12 10:15:00,34921.65,2021-01-12 15:45:00,33861.95,1059.7,113368.34,13368.340000000004
2021-01-12 16:00:00,34440.0,2021-01-12 20:15:00,34254.99,-185.01,113183.33,13183.330000000004
2021-01-12 20:30:00,33989.21,2021-01-13 06:15:00,33847.45,141.76,113325.09,13325.090000000004
2021-01-13 06:30:00,34000.0,2021-01-13 22:00:00,37819.58,3819.58,117144.67000000001,17144.670000000006
2021-01-14 03:45:00,37103.0,2021-01-14 06:00:00,37756.03,-653.03,116491.64000000001,16491.640000000007
2021-01-14 06:15:00,38055.37,2021-01-14 20:45:00,39347.95,1292.58,117784.22,17784.22000000001
2021-01-14 21:00:00,39054.55,2021-01-15 00:15:00,39430.01,-375.46,117408.76000000001,17408.76000000001
2021-01-15 00:30:00,39541.98,2021-01-15 03:15:00,38829.3,-712.68,116696.08000000002,16696.08000000001
2021-01-15 03:30:00,38705.0,2021-01-15 09:15:00,38489.65,215.35,116911.43000000001,16911.430000000008
2021-01-15 09:30:00,38693.61,2021-01-15 12:00:00,38115.01,-578.6,116332.83,16332.830000000007
2021-01-15 12:15:00,37475.55,2021-01-15 16:15:00,36030.0,1445.55,117778.38,17778.38000000001
2021-01-15 16:30:00,36186.5,2021-01-16 02:30:00,36536.0,349.5,118127.88,18127.88000000001
2021-01-16 02:45:00,36270.22,2021-01-16 06:45:00,36146.41,123.81,118251.69,18251.69000000001
2021-01-16 07:00:00,36788.57,2021-01-16 14:00:00,37295.08,506.51,118758.20000000001,18758.200000000008
2021-01-16 14:15:00,36757.87,2021-01-17 00:30:00,36222.0,535.87,119294.07,19294.070000000007
2021-01-17 00:45:00,36421.98,2021-01-17 04:30:00,36111.97,-310.01,118984.06000000001,18984.06000000001
2021-01-17 04:45:00,35890.01,2021-01-17 11:15:00,34918.84,971.17,119955.23000000001,19955.230000000007
2021-01-17 11:30:00,35282.57,2021-01-17 23:30:00,36216.1,933.53,120888.76000000001,20888.760000000006
2021-01-17 23:45:00,35869.83,2021-01-18 06:45:00,35223.0,646.83,121535.59000000001,21535.590000000007
2021-01-18 07:00:00,35941.92,2021-01-18 14:15:00,36865.96,924.04,122459.63,22459.63000000001
2021-01-18 14:30:00,36442.05,2021-01-18 21:15:00,36189.99,252.06,122711.69,22711.69000000001
2021-01-18 21:30:00,36212.85,2021-01-19 03:30:00,36748.36,535.51,123247.20000000001,23247.200000000008
2021-01-19 03:45:00,36555.99,2021-01-19 07:30:00,36732.45,-176.46,123070.74,23070.74000000001
2021-01-19 07:45:00,37225.61,2021-01-19 17:45:00,37226.44,0.83,123071.57,23071.57000000001
2021-01-19 18:00:00,36980.0,2021-01-20 07:00:00,35575.0,1405.0,124476.57,24476.57000000001
2021-01-20 07:15:00,35796.41,2021-01-20 09:15:00,35330.27,-466.14,124010.43000000001,24010.43000000001
